R,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,3,1,0,2,1,0,1,2,1,4,6,4,2,7,4,4,2,5,0,3,6,3,4,7,3,1,7,3,4,6,4,5,3,9,10,8,9,7,13,9,7,14,13,12,13,12,16,13,21,22,11,19,18,15,21,9,26,11,14,20,19,21,20,18,24,29,28,19,12,30,24,37,36,39,38,50,46,35,40,31,33,30,51,52,46,44,51,59,36,58,58,74,45,84,130,85,66,94,94,84,101,55,69,48,44,37,27,29,26,14,14,13,15,10,7,11,8,12,10,11,8,11,7,4,12,11,13,7,14,12,7,4,6,10,5,5,5,8,6,6,72
G,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,5,6,2,0,6,7,5,6,4,5,3,8,5,6,5,5,5,4,7,9,13,13,9,10,11,9,11,20,14,11,18,7,20,7,15,17,14,10,26,21,16,16,27,22,16,12,13,19,19,23,24,18,13,18,20,15,21,20,22,32,35,43,38,60,40,65,41,50,51,45,73,79,61,91,112,140,116,131,116,112,99,89,81,61,51,35,25,19,12,10,9,16,10,12,13,14,12,14,8,5,10,11,14,8,11,5,16,12,12,8,9,8,6,9,6,14,10,9,6,6,10,8,6,6,9,4,9,3,5,4,5,3,2,0,6,4,2,4,1,2
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,1,6,12,6,7,8,9,8,6,11,13,15,11,14,15,22,14,21,25,20,30,15,13,19,23,15,14,16,21,19,20,18,22,24,21,20,18,24,33,27,38,51,52,71,66,126,138,151,171,164,140,161,174,115,62,83,54,46,32,27,18,14,19,21,12,20,19,17,9,14,13,14,7,10,14,14,18,11,10,16,10,12,10,8,8,9,12,16,15,16,9,9,14,7,9,13,6,9,7,5,7,8,5,8,7,4,6,3,0,4,1,4,1,3,0,1,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,452
R,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,1,0,3,2,6,6,2,10,9,12,14,10,16,12,17,18,13,19,20,19,23,18,31,32,26,25,39,23,32,31,29,23,32,27,24,29,21,31,28,29,18,23,17,12,17,17,28,20,17,28,20,18,27,29,25,43,24,31,30,26,32,32,37,20,39,32,24,16,18,18,9,16,26,27,26,24,17,21,19,19,25,27,26,39,36,36,30,31,31,50,33,37,34,35,25,28,32,33,29,35,39,21,28,35,35,28,48,31,52,31,61,55,33,29,22,29,25,30,33,37,32,28,11,21,12,16,14,8,7,3,6,4,7,4,6,7,6,10,3,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,3,1,3,3,3,7,5,7,7,7,11,7,10,13,11,14,19,14,23,31,38,24,27,35,41,43,43,32,45,44,45,37,34,41,36,32,30,36,36,35,41,35,22,30,18,32,19,21,13,18,19,16,22,22,15,19,16,21,18,21,19,32,27,40,15,33,31,36,32,27,32,32,39,37,38,43,39,37,45,51,39,43,67,64,58,57,40,47,45,46,40,38,60,33,45,50,42,27,32,21,34,26,23,21,10,14,7,10,8,5,3,2,4,7,3,3,5,3,9,6,9,9,14,8,12,14,11,14,18,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,5,1,3,5,6,1,4,2,8,8,5,9,14,11,13,17,22,24,34,29,36,26,40,24,24,35,46,30,35,40,33,43,23,43,31,37,40,41,29,27,46,37,32,32,29,33,22,20,21,17,20,15,22,13,19,19,22,21,19,19,26,31,17,20,15,29,31,21,25,39,30,56,39,50,39,39,43,50,36,50,41,33,72,44,54,53,44,52,34,37,32,43,49,40,31,30,52,38,39,29,37,36,29,28,24,13,7,18,15,13,10,12,6,6,3,6,6,12,5,22,7,12,7,7,4,5,2,1,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
R,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,4,9,8,9,7,11,12,9,11,12,16,14,13,14,11,22,23,25,17,33,11,21,29,21,22,24,18,27,21,22,18,29,27,25,33,31,31,32,37,21,27,33,20,23,27,22,34,29,35,36,43,38,44,31,46,20,34,19,17,32,8,6,10,11,7,16,14,5,4,4,4,7,3,3,6,7,8,7,5,5,7,5,7,4,11,6,7,7,4,4,7,9,6,4,7,8,12,9,8,7,12,12,8,15,13,28,19,15,24,22,21,18,18,7,6,7,11,5,2,4,4,1,2,1,0,1,1,0,1,0,0,0,0,0,1,0,0,2,2,2,0,4,4,14,10,11,12,9,26,21,21,11,28,21,28,18,18,19,33,21,16,36,26,28,40,39,51,49,55,28,47,44,20,23,24,30,24,25,25,25,28,16,13,12,23,15,17,25,13,11,14,14,15,14,11,14,14,16,14,10,15,3,7,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0
G,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,9,6,13,18,14,14,10,14,21,16,16,23,24,25,19,35,13,19,12,14,27,22,31,26,29,36,54,39,39,51,27,39,27,29,15,19,21,13,9,7,4,11,6,10,6,7,6,12,9,8,15,11,16,15,10,15,12,22,30,37,37,33,42,49,33,29,27,31,22,17,31,14,14,12,11,22,6,6,8,3,7,4,12,11,12,14,16,13,15,15,20,8,18,19,26,12,15,21,24,16,16,7,3,1,3,1,0,2,3,0,0,1,1,2,0,0,0,0,2,0,0,0,1,2,0,0,0,1,0,2,0,1,1,1,0,0,1,0,0,1,0,0,1,2,0,3,8,17,12,15,29,18,28,26,22,22,49,38,39,38,46,40,58,64,84,56,55,44,30,34,17,28,22,26,27,19,13,23,21,15,17,31,17,33,20,21,19,14,21,13,11,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0,0,0,0,0,0,0,1,0,0,2,1,1,4,5,3,6,12,8,12,10,27,15,22,24,22,22,26,31,19,35,28,29,35,36,28,35,49,33,39,26,34,33,23,26,25,23,18,21,16,12,10,9,11,9,6,11,10,4,4,7,11,13,6,11,14,7,7,10,15,12,12,14,10,13,8,12,12,19,17,18,22,14,24,22,24,35,33,51,38,45,40,47,41,21,36,24,34,22,25,22,25,12,7,16,7,14,10,10,4,5,3,2,6,0,1,3,3,0,1,0,1,0,3,0,3,0,1,0,0,1,0,0,0,1,0,0,4,1,0,1,0,0,0,3,0,2,2,6,3,1,2,0,5,2,8,7,16,25,44,46,65,39,88,81,82,68,71,56,55,67,59,51,39,55,44,33,23,27,14,35,25,12,25,10,8,4,6,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317
R,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,4,1,1,1,8,5,6,4,5,4,9,12,9,5,6,2,5,4,14,9,4,15,6,11,9,10,14,10,13,7,12,21,19,19,20,14,15,12,21,24,15,23,28,25,26,25,26,30,28,27,35,25,23,26,21,18,20,16,15,20,14,11,13,11,8,16,15,11,14,17,18,30,14,12,23,29,22,26,16,22,26,20,24,33,27,30,38,29,19,26,32,31,14,32,29,26,28,17,17,22,15,17,20,24,26,19,17,15,28,22,25,24,41,28,32,32,26,38,35,34,33,27,35,32,15,34,19,30,27,24,27,28,41,29,17,30,23,33,17,21,22,19,13,17,9,4,4,5,6,11,3,5,2,4,7,5,2,7,5,12,18,19,17,20,19,17,21,8,20,15,12,9,12,13,22,13,12,13,17,14,9,14
